,coordinates,count,lng,lat,max_dist
277,-2.37369825_36.868747850000005,54636,-2.37369825,36.868747850000005,204.52270036227955
278,75.74752074999999_26.9096832,54242,75.74752074999999,26.9096832,89.02455995763289
279,39.8016867_21.3898328,53835,39.8016867,21.3898328,28.258481839963185
280,-81.36777265_28.50167835,53789,-81.36777265,28.50167835,4.594062751204934
281,-44.083856499999996_-19.8911688,53670,-44.0838565,-19.8911688,12.709533906603765
282,-44.3025505_-2.6292855000000004,53574,-44.3025505,-2.6292855000000004,37.82317471958799
283,-86.27053925000001_45.001180000000005,53540,-86.27053925000001,45.001180000000005,222.36766379724568
284,-90.1580165_32.230987,53487,-90.1580165,32.230987,76.20579809455828
285,-115.22312499999998_36.232915,53420,-115.22312499999998,36.232915,2.049328140555067
286,-54.86145745_-22.1609285,53229,-54.86145745,-22.1609285,213.90445733536012
287,7.2530458_8.9424837,53201,7.2530458,8.9424837,141.58398172899817
288,8.5367615_47.37746905,53139,8.5367615,47.37746905,28.16710235063707
289,-79.9135205_43.2606955,53074,-79.9135205,43.2606955,31.805696390410844
290,136.7823045_35.447269000000006,53017,136.7823045,35.447269000000006,24.35602692347795
291,-59.277148_-32.1003875,52909,-59.277148,-32.1003875,35.29232606507439
292,125.1425279_6.1442977,52640,125.1425279,6.1442977,30.604570787961595
293,-59.9803255_-2.5724250000000004,52518,-59.9803255,-2.5724250000000004,60.35301357421001
294,-4.42403115_36.7648779,52455,-4.42403115,36.7648779,0.0
295,-92.0611765_30.20607895,52247,-92.0611765,30.20607895,36.07351412971068
296,-91.0907995_30.459100049999996,52219,-91.0907995,30.45910005,15.583780522746332
297,-92.4367735_38.3045585,52067,-92.4367735,38.3045585,68.22011168847212
298,-85.9500505_39.9637611,52054,-85.9500505,39.9637611,54.161727904227995
299,-94.5592817_39.1000485,51698,-94.5592817,39.1000485,10.24280432340408
300,-97.1526765_49.85380550000001,51674,-97.1526765,49.85380550000001,197.4029068274148
301,21.061790000000002_52.23283525,51522,21.06179,52.23283525,3.6411862699899267
302,-83.099288_42.3527865,51450,-83.099288,42.3527865,0.0
303,-81.36777265_28.501678349999995,51427,-81.36777265,28.501678349999995,3.8631264949335535
304,23.50352555_37.08173085,51394,23.50352555,37.08173085,248.31801602290415
305,140.354965_38.247776,51363,140.354965,38.247776,22.499110476495854
306,-40.375167100000006_-20.427329500000003,51158,-40.375167100000006,-20.427329500000003,25.543470044983835
